fold,selected_structure,category,precision,recall,f1,support
0,e011__hdb_mcs20_ms10_leaf,19S proteasome,0.0,0.0,0.0,3
0,e011__hdb_mcs20_ms10_leaf,20S proteasome,0.0,0.0,0.0,3
0,e011__hdb_mcs20_ms10_leaf,40S ribosome,0.0,0.0,0.0,6
0,e011__hdb_mcs20_ms10_leaf,60S ribosome,0.14285714285714285,0.125,0.13333333333333333,8
0,e011__hdb_mcs20_ms10_leaf,ER,0.0,0.0,0.0,49
0,e011__hdb_mcs20_ms10_leaf,ER 2,0.0,0.0,0.0,3
0,e011__hdb_mcs20_ms10_leaf,Golgi,0.0,0.0,0.0,31
0,e011__hdb_mcs20_ms10_leaf,IMC,0.0,0.0,0.0,19
0,e011__hdb_mcs20_ms10_leaf,PM - integral,0.0,0.0,0.0,27
0,e011__hdb_mcs20_ms10_leaf,PM - peripheral 1,0.5,0.1,0.16666666666666666,10
0,e011__hdb_mcs20_ms10_leaf,PM - peripheral 2,0.0,0.0,0.0,8
0,e011__hdb_mcs20_ms10_leaf,apical 1,0.0,0.0,0.0,12
0,e011__hdb_mcs20_ms10_leaf,apical 2,0.0,0.0,0.0,4
0,e011__hdb_mcs20_ms10_leaf,apicoplast,0.0,0.0,0.0,33
0,e011__hdb_mcs20_ms10_leaf,cytosol,0.0,0.0,0.0,120
0,e011__hdb_mcs20_ms10_leaf,dense granules,0.7647058823529411,0.3333333333333333,0.4642857142857143,39
0,e011__hdb_mcs20_ms10_leaf,endomembrane vesicles,0.0,0.0,0.0,7
0,e011__hdb_mcs20_ms10_leaf,micronemes,0.0,0.0,0.0,11
0,e011__hdb_mcs20_ms10_leaf,mitochondrion - membranes,0.0,0.0,0.0,39
0,e011__hdb_mcs20_ms10_leaf,mitochondrion - soluble,0.0,0.0,0.0,54
0,e011__hdb_mcs20_ms10_leaf,nucleolus,0.0,0.0,0.0,6
0,e011__hdb_mcs20_ms10_leaf,nucleus - chromatin,0.53125,0.11038961038961038,0.1827956989247312,154
0,e011__hdb_mcs20_ms10_leaf,nucleus - non-chromatin,0.0,0.0,0.0,93
0,e011__hdb_mcs20_ms10_leaf,rhoptries 1,0.0,0.0,0.0,15
0,e011__hdb_mcs20_ms10_leaf,rhoptries 2,0.0,0.0,0.0,10
0,e011__hdb_mcs20_ms10_leaf,tubulin cytoskeleton,0.0,0.0,0.0,2
1,e005__hdb_mcs20_ms10_leaf,19S proteasome,0.0,0.0,0.0,4
1,e005__hdb_mcs20_ms10_leaf,20S proteasome,0.0,0.0,0.0,3
1,e005__hdb_mcs20_ms10_leaf,40S ribosome,0.0,0.0,0.0,5
1,e005__hdb_mcs20_ms10_leaf,60S ribosome,0.0,0.0,0.0,8
1,e005__hdb_mcs20_ms10_leaf,ER,0.0,0.0,0.0,49
1,e005__hdb_mcs20_ms10_leaf,ER 2,0.0,0.0,0.0,3
1,e005__hdb_mcs20_ms10_leaf,Golgi,0.0,0.0,0.0,31
1,e005__hdb_mcs20_ms10_leaf,IMC,0.0,0.0,0.0,19
1,e005__hdb_mcs20_ms10_leaf,PM - integral,0.0,0.0,0.0,27
1,e005__hdb_mcs20_ms10_leaf,PM - peripheral 1,1.0,0.3,0.46153846153846156,10
1,e005__hdb_mcs20_ms10_leaf,PM - peripheral 2,0.0,0.0,0.0,9
1,e005__hdb_mcs20_ms10_leaf,apical 1,0.0,0.0,0.0,12
1,e005__hdb_mcs20_ms10_leaf,apical 2,0.0,0.0,0.0,4
1,e005__hdb_mcs20_ms10_leaf,apicoplast,0.0,0.0,0.0,33
1,e005__hdb_mcs20_ms10_leaf,cytosol,0.0,0.0,0.0,120
1,e005__hdb_mcs20_ms10_leaf,dense granules,0.6923076923076923,0.23076923076923078,0.34615384615384615,39
1,e005__hdb_mcs20_ms10_leaf,endomembrane vesicles,0.0,0.0,0.0,6
1,e005__hdb_mcs20_ms10_leaf,micronemes,0.0,0.0,0.0,11
1,e005__hdb_mcs20_ms10_leaf,mitochondrion - membranes,0.0,0.0,0.0,39
1,e005__hdb_mcs20_ms10_leaf,mitochondrion - soluble,0.0,0.0,0.0,55
1,e005__hdb_mcs20_ms10_leaf,nucleolus,0.0,0.0,0.0,6
1,e005__hdb_mcs20_ms10_leaf,nucleus - chromatin,0.5238095238095238,0.14285714285714285,0.22448979591836735,154
1,e005__hdb_mcs20_ms10_leaf,nucleus - non-chromatin,0.0,0.0,0.0,92
1,e005__hdb_mcs20_ms10_leaf,rhoptries 1,0.0,0.0,0.0,14
1,e005__hdb_mcs20_ms10_leaf,rhoptries 2,0.4,0.18181818181818182,0.25,11
1,e005__hdb_mcs20_ms10_leaf,tubulin cytoskeleton,0.0,0.0,0.0,2
2,e001__hdb_mcs20_ms10_leaf,19S proteasome,0.0,0.0,0.0,4
2,e001__hdb_mcs20_ms10_leaf,20S proteasome,0.0,0.0,0.0,2
